lk,jrk,ID,takte,eeltakt,mõõt,maakond,Aasta,,kogujad,viide,SX,tekst,Attn,kogujad,maakond,maakond,kogujad,kogutud viise,taktimõõdud,,,tekst
8,48,0048-r,4,,6/8,Jõhvi,,,Penna-Sildnik,26,a,"E-hi--te-lin vel-je-kes-ta,_ _ e-hi-te-lin_ _ ke-na-te-lin.",,Penna-Sildnik (26) a,48. Jõhvi,Lääne-Nigula,P.Penna - K.Luud,2,3/4 3/4 2/4 3/4,,,"Ehitelin veljekesta,_ ehitelin_ kenatelin."
,49,0049-r,4,,2/4,Koeru,,,Välbe-Martin-Rosenstrauch,23,,"Mis sa ke-od mei-e kii-ke, mis sa ä-gad mei-e häl-li?",,Välbe-Martin-Rosenstrauch (23),49. Koeru,Laiuse,P.Tatz,10,3/4 3/4 3/4 3/4 2/4 2/4 2/4 2/4 2/4 2/4,,,"Mis sa keod meie kiike, mis sa ägad meie hälli?"
,50,0050-r,4,,2/4,Ambla,,,J.Välbe,215,,Las-ke sis-se mar-di-san-did: Mar-di küü-ned kül-me-ta-vad.,,J.Välbe (215),50. Ambla,Laiuse ja Simuna,Pehka-Eisenschmidt,8,3/4 3/4 5/4,,,Laske sisse mardisandid: Mardi küüned külmetavad.
,51,0051-r,4,,2/4,Audru,,,K.Viljak,3,,"Tä-na lä-hen, tä-na lah-kun, üks-ki suu ei nut-tu tei-nud.",,K.Viljak (3),51. Audru,Laiuse-Simuna,Penna-Luud,44,3/8,,,"Täna lähen, täna lahkun, ükski suu ei nuttu teinud."
,52,0052-r,4,,2/4,Haljala,,,Viljak-Mark,17,,"Mar-ti kün-nik-selt kü-sik-se, ü-le pa-ku pal-ve-lek-se.",,Viljak-Mark (17),52. Haljala,Lohusuu,Penna-Rosenstrauch,60,3/8 2/4,,,"Marti künnikselt küsikse, üle paku palvelekse."
,53,0053-r,4,,6/8,Põhja-Eesti,,,J.Sõster,2,,Ei ma ne-a nei-u-ae-ga e-ga põl-ga pii-ga-põl-ve.,,J.Sõster (2),53. Põhja-Eesti,Lutsi,Penna-Sildnik,55,3/8 2/4 2/4 2/4,,,Ei ma nea neiuaega ega põlga piigapõlve.
,54,0054-r,4,,6/8,Põhja-Eesti,1909,,J.Sõster,53,,-,,J.Sõster (53),"54. Põhja-Eesti, 1909",Lutsimaa,Pillesson,1,3/8 2/4 3/8 2/4,,,
,55,0055-r,8,,4/8 5/8 4/8 5/8 4/8 4/8 4/8 4/8,Nissi,,,"Joh. Muda, Jul. Muda",25,,"Va-res o-li va-ga lin-nu-ke-ne, len-das lin-nas uu-lit-sal-le, sealt te-ma len-das ka-tuk-sel-le, kõrt-si-mam-ma ma-tuk-sel-le.",,"Joh. Muda, Jul. Muda (25)",55. Nissi,Maarja-Magdaleena,R.Kohelik,1,3/8 2/4 5/8,,,"Vares oli vaga linnukene, lendas linnas uulitsalle, sealt tema lendas katukselle, kõrtsimamma matukselle."
9,56,0056-r,2,,4/8,Kuusalu,,,Viljak-Vilberg,109,,Kui mi-na kuu-len rää-gi--i-tä-vä.,,Viljak-Vilberg (109),56. Kuusalu,Marja-Magdaleena,R.Kõhelik,6,3/8 2/8 3/8 3/8 2/8 3/8 2/4 2/4 2/4 2/4,,,Kui mina kuulen räägiitävä.
,57,0057-r,3,,2/4,Kuusalu,,,Viljak-Vilberg,91,,"Las pü-si-me, kan-na--ta-me, kan-na--ta-me.",,Viljak-Vilberg (91),57. Kuusalu,Martna,Ruubel-Kõrnitse,3,3/8 5/8,,,"Las püsime, kannatame, kannatame."
