lk,jrk,ID,takte,eeltakt,mõõt,maakond,Aasta,,kogujad,viide,SX,tekst,Attn,kogujad,maakond,maakond,kogujad,kogutud viise,taktimõõdud,,,tekst
,904,0904-r,4,,2/4,Vastseliina,,,Lindpere,37,,"E: Vee,_ voo,_ võ-ta vee-rest, K: Töis-te-Jaa-ni kae-ra vee-rest.",,Lindpere (37),904. Vastseliina,,,1365,,,,"E: Vee,_ voo,_ võta veerest, K: TöisteJaani kaera veerest."
,905,0905-r,4,,2/4,Ambla,,,J.Välbe,79,,"Ei mi-na lau-la ra-ha-ta-gi, suud ei kul-la-ta ku-lu-ta.",,J.Välbe (79),905. Ambla,,,1365,,,,"Ei mina laula rahatagi, suud ei kullata kuluta."
,906,0906-r,4,,2/4,Laiuse-Simuna,,,Viljak-Rosenstrauch,5,,"Mul-lu mi-na võt-sin nai-se noo-re, tu-na-mul-lu tei-se poo-le.",,Viljak-Rosenstrauch (5),906. Laiuse-Simuna,,,1365,,,,"Mullu mina võtsin naise noore, tunamullu teise poole."
,907,0907-r,6,1/4,2/4,Rakvere,,,Elken-Rosenstrauch,21,,"Här-ra üt-les val-la-le:_ hom-me läh-me kil-la-le, hom-me läh-me kil-la-le.",,Elken-Rosenstrauch (21),907. Rakvere,,,1365,,,,"Härra ütles vallale:_ homme lähme killale, homme lähme killale."
121,908,0908-r,4,,2/4,Väike-Maarja,,,P.Penna,183,,"Võ-tan kir-ve, rai-un kii-ke, võ-tan ves-tu, ves-tan kii-ke.",,P.Penna (183),908. Väike-Maarja,,,1365,,,,"Võtan kirve, raiun kiike, võtan vestu, vestan kiike."
,909,0909-r,4,,2/4,Räpina,,,Lindpere,67,,"Va-na-mees_ väe-ti-ke-ne, va-na-mees_ väe-ti-ke-ne.",,Lindpere (67),909. Räpina,,,1365,,,,"Vanamees_ väetikene, vanamees_ väetikene."
,910,0910-r,4,,2/4,Laiuse,,,Hermann,205,,"Meil on_ kak-si vaes-ta las-ta, meil on kak-si vaes-ta las-ta.",,Hermann (205),910. Laiuse,,,1365,,,,"Meil on_ kaksi vaesta lasta, meil on kaksi vaesta lasta."
,911,0911-r,4,,2/4,Jõelähtme,,,K.Viljak,11,,"Ko-du mi-na pek-sin kol-me rei-e, mõ-ne rei-e mõi-sa-as-sa.",,K.Viljak (11),911. Jõelähtme,,,1365,,,,"Kodu mina peksin kolme reie, mõne reie mõisaassa."
,912,0912-r,4,,2/4,Ambla,,,J.Välbe,7,,Las-ke sis-se kad-ri-san-did: Kad-ri küü-ned kül-me-ta-vad.,,J.Välbe (7),912. Ambla,,,1365,,,,Laske sisse kadrisandid: Kadri küüned külmetavad.
,913,0913-r,4,,2/4,Väike-Maarja,,,P.Penna,206,,"O-leks mi-nu o-le-mi-ne, tei-seks mi-nu_ te-ge-mi-ne..._",,P.Penna (206),913. Väike-Maarja,,,1365,,,,"Oleks minu olemine, teiseks minu_ tegemine..._"
,914,0914-r,4,,2/4,Simuna,,,Siimer-Rosenstrauch,54,,"O-leks mi-nu o-le-mi-ne, tei-seks mi-nu te-ge-mi-ne...",,Siimer-Rosenstrauch (54),914. Simuna,,,1365,,,,"Oleks minu olemine, teiseks minu tegemine..."
,915,0915-r,4,,2/4,Pilistvere,,,Saar-Siimer,86,,"Taht-sin_ tal-gu--se-le min-na, taht-sin_ tal-gu--se-le min-na.",,Saar-Siimer (86),915. Pilistvere,,,1365,,,,"Tahtsin_ talgusele minna, tahtsin_ talgusele minna."
122,916,0916-r,4,,2/4,Simuna,,,Siimer-Rosenstrauch,61,,"O-leks mi-nu o-le-mi-ne, tei-seks mi-nu te-ge-mi-ne...",,Siimer-Rosenstrauch (61),916. Simuna,,,1365,,,,"Oleks minu olemine, teiseks minu tegemine..."
,917,0917-r,4,,2/4,Kolga-Jaani,,,Simm-Reisik,33,,O-li-me kol-mi ven-na-kes-ta.,,Simm-Reisik (33),917. Kolga-Jaani,,,1365,,,,Olime kolmi vennakesta.
,918,0918-r,4,,2/4,Koeru,,,Välbe-Martin-Rosenstrauch,56,,"Lõõ-ri, lõõ-ri, lõ-o-ke-ne, pii-ri, pää-ri, pää-su-ke-ne.",,Välbe-Martin-Rosenstrauch (56),918. Koeru,,,1365,,,,"Lõõri, lõõri, lõokene, piiri, pääri, pääsukene."
,919,0919-r,4,,2/4,Narva,,,Penna-Luud,106,,Mei-e kü-las kol-mi ri-kast ...,,Penna-Luud (106),919. Narva,,,1365,,,,Meie külas kolmi rikast ...
,920,0920-r,4,,2/4,Saarde,,,Martin-Tatz,52,,"Oot, oot,_ or-ja tant-su, oot, oot,_ or-ja tant-su.",,Martin-Tatz (52),920. Saarde,,,1365,,,,"Oot, oot,_ orja tantsu, oot, oot,_ orja tantsu."
,921,0921-r,4,,2/4,Pilistvere,,,Saar-Siimer,64,,"Kui mi-na hak-kan lau-le-mai-e, lau-le-mai-e, las-ke-mai-e.",,Saar-Siimer (64),921. Pilistvere,,,1365,,,,"Kui mina hakkan laulemaie, laulemaie, laskemaie."
,922,0922-r,4,,2/4,Väike-Maarja,,,P.Penna,180,,"Vend mul sõi-tis kos-ja-tee-da, tu-li te-ma kos-jas-ta ko-du-je.",,P.Penna (180),922. Väike-Maarja,,,1365,,,,"Vend mul sõitis kosjateeda, tuli tema kosjasta koduje."
,923,0923-r,4,,2/4,Väike-Maarja,,,P.Penna,189,,"Pe-re-mees õu-es, kä-ed põu-es, mi-na mõt-len: mi-nu Ju-mal...",,P.Penna (189),923. Väike-Maarja,,,1365,,,,"Peremees õues, käed põues, mina mõtlen: minu Jumal..."
123,924,0924-r,4,,2/4,Kodavere,,,Liiv-Raja,81,,"Kel-lel pi-kad pük-sid ja-las, kel-lel pi-kad pük-sid ja-las.",,Liiv-Raja (81),924. Kodavere,,,1365,,,,"Kellel pikad püksid jalas, kellel pikad püksid jalas."
,925,0925-r,4,,2/4,Vändra,,,Saar,28,,"Kui mi-na hak-kan lau-le-mai-e, lau-le-mai-e, luu-le-mai-e.",,Saar (28),925. Vändra,,,1365,,,,"Kui mina hakkan laulemaie, laulemaie, luulemaie."
,926,0926-r,4,,2/4,Türi,,,Siimer,52,,"Mil-las mei-e sin-na saa-me, kus need ku-ked kul-da söö-vad?",,Siimer (52),926. Türi,,,1365,,,,"Millas meie sinna saame, kus need kuked kulda söövad?"
,927,0927-r,4,,2/4,Koeru ja Järva-Jaani,,,Martin-Rosenstrauch,239,,"Poi-sid, poi-sid, pun-gis-sil-mad ...",,Martin-Rosenstrauch (239),927. Koeru ja Järva-Jaani,,,1365,,,,"Poisid, poisid, pungissilmad ..."
,928,0928-r,4,,2/4,Suure-Jaani,,,Saar-Siimer,29,,"Tu-li see kal-lis Mihk-li lau-ba, tu-lin ma teol-ta ko-du-je.",,Saar-Siimer (29),928. Suure-Jaani,,,1365,,,,"Tuli see kallis Mihkli lauba, tulin ma teolta koduje."
,929,0929-r,8,,2/4,Rakvere,,,Elken-Rosenstrauch,9,,"Võt--sin mul-lu nai-se noo-re, võt-sin mul-lu nai-se noo-re,
tu-na-mul-lu tei-se poo-le, tu-na-mul-lu tei-se poo-le.",,Elken-Rosenstrauch (9),929. Rakvere,,,1365,,,,"Võtsin mullu naise noore, võtsin mullu naise noore,
tunamullu teise poole, tunamullu teise poole."
,930,0930-r,8,,2/4,Koeru,,,Välbe-Martin-Rosenstrauch,43,,"Ei-de-ke-si, taa-di-ke-si, val-la va-na-moo-ri-ke-si,
pe-re pilk-jaid poi-si-ke-si, naab-ri noo-ri nai-su-ke-si...",,Välbe-Martin-Rosenstrauch (43),930. Koeru,,,1365,,,,"Eidekesi, taadikesi, valla vanamoorikesi,
pere pilkjaid poisikesi, naabri noori naisukesi..."
124,931,0931-r,8,,2/4,Pärnu-Häädemeeste,,,Martin-Johanson,43,,"Te-re, te-re, kü-la-ei-te ...",,Martin-Johanson (43),931. Pärnu-Häädemeeste,,,1365,,,,"Tere, tere, külaeite ..."
,932,0932-r,4,,6/8,Simititsa,,,Penna-Luud,46 a,,"E: Pe-re-mees, pe-re-me-hi-ke-ne, K: pe-re-nai-ne, nai-su-ke-ne.",,Penna-Luud (46 a),932. Simititsa,,,1365,,,,"E: Peremees, peremehikene, K: perenaine, naisukene."
,933,0933-r,4,,2/4,Kuusalu,,,Viljak-Vilberg,49,,"Lau-lak-sin lu-gu-da kak-si, vie-re-tak-sin vii-si kuu-si.",,Viljak-Vilberg (49),933. Kuusalu,,,1365,,,,"Laulaksin luguda kaksi, vieretaksin viisi kuusi."
,934,0934-r,4,,2/4,Koeru,,,Välbe-Martin-Rosenstrauch,47,,"O-lin en-ne noo-ri mee-si, se-da küll en-ne poi-si-ke-ne.",,Välbe-Martin-Rosenstrauch (47),934. Koeru,,,1365,,,,"Olin enne noori meesi, seda küll enne poisikene."
,935,0935-r,4,,2/4,Saarde,,,Martin-Tatz,41,,"Kü-lä mull' ü-tel: ku-ku, ku-ku ...",,Martin-Tatz (41),935. Saarde,,,1365,,,,"Külä mull' ütel: kuku, kuku ..."
,936,0936-r,4,,2/4,Martna,,,C.Kreek,6,,"Kui ma hak-kan lau-le-ma, lau-le-ma ja luu-le-ma.",,C.Kreek (6),936. Martna,,,1365,,,,"Kui ma hakkan laulema, laulema ja luulema."
125,937,0937-r,5,,2/4,Ridala,,,Kreek-Mudda,9,,"Jü-ri tu-li juur-de ja u-ni tu-li pea-le, pak-kus_ mul--le_ sak-sa sai-a; tai-nast lei-ba.",,Kreek-Mudda (9),937. Ridala,,,1365,,,,"Jüri tuli juurde ja uni tuli peale, pakkus_ mulle_ saksa saia; tainast leiba."
,938,0938-r,4,,2/4,Vändra,,,Saar,45,,"Tu-le tut-tu Jü-ri-ga, suu-re sum-ma mees-te-ga.",,Saar (45),938. Vändra,,,1365,,,,"Tule tuttu Jüriga, suure summa meestega."
,939,0939-r,4,,2/4,Rakvere,,,Elken-Rosenstrauch,12,,"Su-vi tu-leb, lõo-ke lau-lab, su-vi tu-leb, lõo-ke lau-lab.",,Elken-Rosenstrauch (12),939. Rakvere,,,1365,,,,"Suvi tuleb, lõoke laulab, suvi tuleb, lõoke laulab."
,940,0940-r,4,,2/4,Simuna,,,Siimer-Rosenstrauch,22,,"Mei-e kol-med õ-e-ke-sed,_ väl-jal kol-med o-rak-sed;_
ko-du kol-med ko-si-la-sed, ü-hed vik-sid Vil-jan-dis-ta.",,Siimer-Rosenstrauch (22),940. Simuna,,,1365,,,,"Meie kolmed õekesed,_ väljal kolmed oraksed;_
kodu kolmed kosilased, ühed viksid Viljandista."
,941,0941-r,4,,2/4,Kadrina,,,K.Viljak,31,,"Ei o-le süü-di pe-si-jal-la, süüd on pin-gi sea-di-jal-la.",,K.Viljak (31),941. Kadrina,,,1365,,,,"Ei ole süüdi pesijalla, süüd on pingi seadijalla."
,942,0942-r,4,,2/4,Kadrina,,,K.Viljak,59,,"Lõ-pe, lõ-pe, põl-lu-ke-ne, sa-a ot-sa, saa-re-ke-ne.",,K.Viljak (59),942. Kadrina,,,1365,,,,"Lõpe, lõpe, põllukene, saa otsa, saarekene."
,943,0943-r,4,,2/4,Pöide,,,Fr.Paulmeister,15,,Muist a-ga sõit-sid mus-ta-de-ga ...,,Fr.Paulmeister (15),943. Pöide,,,1365,,,,Muist aga sõitsid mustadega ...
126,944,0944-r,4,,2/4,Ambla,,,J.Välbe,201,,"Mei-e, kak-si vaes-ta las-ta, läh-me jaa-ni-päev ki-ri-ku.",,J.Välbe (201),944. Ambla,,,1365,,,,"Meie, kaksi vaesta lasta, lähme jaanipäev kiriku."
,945,0945-r,6,,2/4,Rakvere,,,Elken-Rosenstrauch,11,,"Kas-ke sis-se kad-ri-san-did: Kad-ri küü-ned kül-me-ta-vad, Kad-ri var-bad va-lu-ta-vad.",,Elken-Rosenstrauch (11),945. Rakvere,,,1365,,,,"Kaske sisse kadrisandid: Kadri küüned külmetavad, Kadri varbad valutavad."
,946,0946-r,5,1/8,2/4,Paistu,1887. Sandi laul,,H.Leppik,nr. 3,, ,,H.Leppik (nr. 3),"946. Paistu, 1887. Sandi laul",,,1365,,,, 
,947,0947-r,4,,2/4,Suure-Jaani,,,Saar-Siimer,24 a,,Uh mi-nu här-tu här-ra-ke-ne ...,,Saar-Siimer (24 a),947. Suure-Jaani,,,1365,,,,Uh minu härtu härrakene ...
,948,0948-r,4,,2/4,Tori,1888,,Hermann,1475,,"Söö-ge, lan-gud, joo-ge, lan-gud ...",,Hermann (1475),"948. Tori, 1888",,,1365,,,,"Sööge, langud, jooge, langud ..."
,949,0949-r,4,,2/4,Türi,,,Siimer,2,,"Tü-ki mi-na käi-sin Tür-gi-maa-da, na-tu-ke-se Nar-va-maa-da.",,Siimer (2),949. Türi,,,1365,,,,"Tüki mina käisin Türgimaada, natukese Narvamaada."
,950,0950-r,8,,2/4,Rõuge,,,J.Gutves,31,, ,,J.Gutves (31),950. Rõuge,,,1365,,,, 
127,951,0951-r,4,,2/4,Rõuge,,,J.Gutves,4,[122],"Lit-su pea-le, lit-su pea-le ...",,J.Gutves (4) [122],951. Rõuge,,,1365,,,,"Litsu peale, litsu peale ..."
,952,0952-r,4,,2/4,Kuusalu,,,Viljak-Vilberg,8,,"Neit-si-ke-ne, noo-ru-ke-ne, neit-si-ke-ne, noo-ru-ke-ne.",,Viljak-Vilberg (8),952. Kuusalu,,,1365,,,,"Neitsikene, noorukene, neitsikene, noorukene."
,953,0953-r,4,,2/4,Kadrina,,,K.Viljak,91,,"Mei-e kub-jas kul-la-ke-ne, he-ri-la-ne hel-la-ke-ne.",,K.Viljak (91),953. Kadrina,,,1365,,,,"Meie kubjas kullakene, herilane hellakene."
,954,0954-r,4,,2/4,Jõhvi,,,Penna-Sildnik,38,a,Kui mi-na hak-kan lau-le-mai-e ...,,Penna-Sildnik (38) a,954. Jõhvi,,,1365,,,,Kui mina hakkan laulemaie ...
,955,0955-r,4,,2/4,Jõelähtme,,,K.Viljak,29,,Meil on ük-si me--de-ri lin-du ...,,K.Viljak (29),955. Jõelähtme,,,1365,,,,Meil on üksi mederi lindu ...
,956,0956-r,4,,2/4,Paistu,,,Aavik-Sakeus,32,,"Oh te kul-la-tud su-la-sed, sa-me-ti-sed saa-ni-poi-sid.",,Aavik-Sakeus (32),956. Paistu,,,1365,,,,"Oh te kullatud sulased, sametised saanipoisid."
,957,0957-r,4,,2/4,Paistu,,,Ruubel-Kõrnitse,9,,"U-ni_ tu-li hui-ga-ten-na, lä-bi laa-ne lõk-su-ten-na.",,Ruubel-Kõrnitse (9),957. Paistu,,,1365,,,,"Uni_ tuli huigatenna, läbi laane lõksutenna."
128,958,0958-r,4,,2/4,Kadrina,,,K.Viljak,23,,"Pü-ha-päev pük-sa-ta juu-a, es-mas-päev u-ni ma-ga-da.",,K.Viljak (23),958. Kadrina,,,1365,,,,"Pühapäev püksata juua, esmaspäev uni magada."
,959,0959-r,4,,2/4,Kuusalu,,,Viljak-Vilberg,95,,"Sa te-gid, sa te-gid, neit-si--kä-ne, sa te-gid kau-bad_ kau-ge-jal-le.",,Viljak-Vilberg (95),959. Kuusalu,,,1365,,,,"Sa tegid, sa tegid, neitsikäne, sa tegid kaubad_ kaugejalle."
,960,0960-r,4,,2/4,Kuusalu,,,Viljak-Vilberg,169,,"Ai-du--rai-du ra-tas-te-ga, en-ne mi-na män-gin mä-tas-te-ga.",,Viljak-Vilberg (169),960. Kuusalu,,,1365,,,,"Aiduraidu ratastega, enne mina mängin mätastega."
,961,0961-r,4,,2/4,Kolga-Jaani,,,Simm-Reisik,38,,"E-sä-ke-ne, taa-di-ke-ne ...",,Simm-Reisik (38),961. Kolga-Jaani,,,1365,,,,"Esäkene, taadikene ..."
,962,0962-r,4,,2/4,Ambla,,,J.Välbe,193,,"Lõ-pe, lõ-pe, põl-lu-ke-ne, sa-a ot-sa, saa-re-ke-ne.",,J.Välbe (193),962. Ambla,,,1365,,,,"Lõpe, lõpe, põllukene, saa otsa, saarekene."
,963,0963-r,4,,2/4,Koeru,,,Välbe-Martin-Rosenstrauch,79,,"Ke-na Pee-ter, poi-si-ke-ne, tee mull' rau-da-nae-la-si-da.",,Välbe-Martin-Rosenstrauch (79),963. Koeru,,,1365,,,,"Kena Peeter, poisikene, tee mull' raudanaelasida."
,964,0964-r,4,,2/4,Järva-Madise,,,P.Penna,96/3,,"Kül-lap mi-na lau-laks, kes mind la-seks ...",,P.Penna (96/3),964. Järva-Madise,,,1365,,,,"Küllap mina laulaks, kes mind laseks ..."
,965,0965-r,4,,2/4,Järvamaa,,,Penna-Rosenstrauch,9,,"Vai-u, vai-u, Vai-ta läh-me, Vai-da mõi-sa ai-ta läh-me.",,Penna-Rosenstrauch (9),965. Järvamaa,,,1365,,,,"Vaiu, vaiu, Vaita lähme, Vaida mõisa aita lähme."
129,966,0966-r,4,,2/4,Kolga-Jaani,,,Simm-Reisik,22,,"Kui mi-na hak-kan lau-le--mai-e, kui mi-na hak-kan lau-le-mai-e.",,Simm-Reisik (22),966. Kolga-Jaani,,,1365,,,,"Kui mina hakkan laulemaie, kui mina hakkan laulemaie."
,967,0967-r,4,,2/4,Türi,,,Siimer,26,,"En-nem mi-na o-lin ei-de ko-du, en-nem mi-na o-lin taa-di ko-du.",,Siimer (26),967. Türi,,,1365,,,,"Ennem mina olin eide kodu, ennem mina olin taadi kodu."
,968,0968-r,4,,2/4,Viljandi,,,Hermann,117,,"Mi-na mees mõis-tan mõr-ra te-ha, mi-na mees mõis-tan mõr-ra te-ha.",,Hermann (117),968. Viljandi,,,1365,,,,"Mina mees mõistan mõrra teha, mina mees mõistan mõrra teha."
,969,0969-r,4,,2/4,Risti,,,C.Kreek,98,,Las-ke Kad-rid sis-se tul-la: Kad-ri küü-ned kül-me-ta-vad...,,C.Kreek (98),969. Risti,,,1365,,,,Laske Kadrid sisse tulla: Kadri küüned külmetavad...
,970,0970-r,4,,2/4,Türi,,,Siimer,75,,"Tu-le mi-nu vas-tu luu-le-mai-e, luu-le-mai-e, lau-le-mai-e.",,Siimer (75),970. Türi,,,1365,,,,"Tule minu vastu luulemaie, luulemaie, laulemaie."
,971,0971-r,4,,2/4,Järva-Madise,,,P.Penna,95/2,,Pii-bu-ga pe-re pi-da-sin ...,,P.Penna (95/2),971. Järva-Madise,,,1365,,,,Piibuga pere pidasin ...
,972,0972-r,8,,2/4,Pöide,,,Fr.Paulmeister,39,,"Oh mi-na vae-ne,_ vae-se-ke-ne, vae-ne hal-ba_ lap-su-ke-ne:
en-ne o-li e-lu pa-re-ma, mius-te o-li mu-re vä-he-ma.",,Fr.Paulmeister (39),972. Pöide,,,1365,,,,"Oh mina vaene,_ vaesekene, vaene halba_ lapsukene:
enne oli elu parema, miuste oli mure vähema."
130,973,0973-r,4,,2/4,Järvamaa,,,K.Viljak,16,,"Nõ-ret, nõ-ret, nõe-la-ke-ne, nõ-ret, nõe-le sil-ma-ke-ne.",,K.Viljak (16),973. Järvamaa,,,1365,,,,"Nõret, nõret, nõelakene, nõret, nõele silmakene."
,974,0974-r,4,,2/4,Järvamaa,,,Penna-Rosenstrauch,23,,"Kõrts-mik, kõrts-mik, an-na vii-na, ma toon puid ja pee-ru-lõm-mu.",,Penna-Rosenstrauch (23),974. Järvamaa,,,1365,,,,"Kõrtsmik, kõrtsmik, anna viina, ma toon puid ja peerulõmmu."
,975,0975-r,4,,2/4,Ambla,,,J.Välbe,190,,"Nüüd too-di trum-mel tu-ba-je,_ lee-me-lal-li lõu-na-al-le.",,J.Välbe (190),975. Ambla,,,1365,,,,"Nüüd toodi trummel tubaje,_ leemelalli lõunaalle."
,976,0976-r,4,,2/4,Ridala,,,Kreek-Mudda,12,,"Eks see o-le ha-le a-si, ha-le a-si, kur-ba lu-gu.",,Kreek-Mudda (12),976. Ridala,,,1365,,,,"Eks see ole hale asi, hale asi, kurba lugu."
,977,0977-r,2,,6/8,Järvamaa,,,K.Viljak,11,,"Tul-ge_ kii-ke,_ kü-la_ nai-sed._",,K.Viljak (11),977. Järvamaa,,,1365,,,,"Tulge_ kiike,_ küla_ naised._"
,978,0978-r,8,,2/4,Pärnu-Häädemeeste,,,Martin-Johanson,51,,"Si-ri-se, si-ri-se sir-bi-ke-ne ...",,Martin-Johanson (51),978. Pärnu-Häädemeeste,,,1365,,,,"Sirise, sirise sirbikene ..."
,979,0979-r,4,,2/4,Järva-Madise,,,P.Penna,73/4,,Eks mi-nu must võind mui-du joos-ta ...,,P.Penna (73/4),979. Järva-Madise,,,1365,,,,Eks minu must võind muidu joosta ...
131,980,0980-r,4,,2/4,Ambla,,,J.Välbe,127,,"Nä-gin a-ga, hel-lad ven-nad, nä-gin a-ga nei-ut kas-va-va-da.",,J.Välbe (127),980. Ambla,,,1365,,,,"Nägin aga, hellad vennad, nägin aga neiut kasvavada."
,981,0981-r,4,,2/4,Kolga-Jaani,,,Simm-Reisik,31,,"Kuul-sin mui-de kuk-ku-va-da, kuul-sin_ mui-de kuk-ku-va-da.",,Simm-Reisik (31),981. Kolga-Jaani,,,1365,,,,"Kuulsin muide kukkuvada, kuulsin_ muide kukkuvada."
,982,0982-r,2,1/8,6/8,Krimmi,,,R.Kõhelik,51,,Väik-sed_ hel--la--ke--sed...,,R.Kõhelik (51),982. Krimmi,,,1365,,,,Väiksed_ hellakesed...
,983,0983-r,2,,6/8,Koeru ja Järva-Jaani,,,Martin-Rosenstrauch,242,, ,,Martin-Rosenstrauch (242),983. Koeru ja Järva-Jaani,,,1365,,,, 
,984,0984-r,4,,2/4,Kursi ja Võnnu,,,J.Kärt,19,,"Tul-ge nüüd,_ läh-me nüüd,_ läh-me se-da tee-da möö-da.",,J.Kärt (19),984. Kursi ja Võnnu,,,1365,,,,"Tulge nüüd,_ lähme nüüd,_ lähme seda teeda mööda."
,985,0985-r,4,,2/4,Järva-Madise,,,P.Penna,64/2,,"Lõ-pe, lõ-pe, põl-lu-ke-ne, saa_ ot-sa, saa-re-ke-ne.",,P.Penna (64/2),985. Järva-Madise,,,1365,,,,"Lõpe, lõpe, põllukene, saa_ otsa, saarekene."
,986,0986-r,4,,2/4,Järva-Jaani,,,Välbe-Martin-Rosenstrauch,18,,"Lõ-pe, lõ-pe, põl-lu-ke-ne, saa_ ot-sa, saa-re-ke-ne.",,Välbe-Martin-Rosenstrauch (18),986. Järva-Jaani,,,1365,,,,"Lõpe, lõpe, põllukene, saa_ otsa, saarekene."
,987,0987-r,4,,2/4,Simuna,,,Siimer-Rosenstrauch,42,,"Kü-la mull' üt-leb: ku-ku, ku-ku, kü-la lap-sed: lau-la, lau-la.",,Siimer-Rosenstrauch (42),987. Simuna,,,1365,,,,"Küla mull' ütleb: kuku, kuku, küla lapsed: laula, laula."
132,988,0988-r,4,,2/4,Järva-Jaani,,,,,,,,,988. Järva-Jaani,,,1365,,,,
,989,0989-r,4,,2/4,Krimmi,,,,,,,,,989. Krimmi,,,1365,,,,
,990,0990-r,4,,2/4,Tarvastu,,,,,,,,,990. Tarvastu,,,1365,,,,
,991,0991-r,4,,2/4,Koeru,,,,,,,,,991. Koeru,,,1365,,,,
,992,0992-r,4,,2/4,Põhja-Eesti,1909,,,,,,,,"992. Põhja-Eesti, 1909",,,1365,,,,
,993,0993-r,4,,2/4,Koeru,,,,,,,,,993. Koeru,,,1365,,,,
,994,0994-r,4,,2/4,Koeru,,,,,,,,,994. Koeru,,,1365,,,,
,995,0995-r,4,,2/4,Ambla,,,,,,,,,995. Ambla,,,1365,,,,
133,996,0996-r,4,,2/4,Järva-Madise,,,,,,,,,996. Järva-Madise,,,1365,,,,
,997,0997-r,4,,2/4,Ambla,,,,,,,,,997. Ambla,,,1365,,,,
,998,0998-r,4,,2/4,Väike-Maarja,,,,,,,,,998. Väike-Maarja,,,1365,,,,
,999,0999-r,4,,2/4,Haljala,,,,,,,,,999. Haljala,,,1365,,,,
,1000,1000-r,4,,2/4,Kodavere,,,,,,,,,1000. Kodavere,,,1365,,,,
,1001,1001-r,4,,2/4,Simititsa,,,,,,,,,1001. Simititsa,,,1365,,,,
,1002,1002-r,4,,2/4,Haljala,,,,,,,,,1002. Haljala,,,1365,,,,
,1003,1003-r,4,,2/4,Pilistvere,,,,,,,,,1003. Pilistvere,,,1365,,,,
134,1004,1004-r,4,,2/4,Tarvastu,,,,,,,,,1004. Tarvastu,,,1365,,,,
,1005,1005-r,4,,2/4,Järva-Madise,,,,,,,,,1005. Järva-Madise,,,1365,,,,
,1006,1006-r,4,,2/4,Juuru,,,,,,,,,1006. Juuru,,,1365,,,,
,1007,1007-r,4,,2/4,Türi,,,,,,,,,1007. Türi,,,1365,,,,
,1008,1008-r,4,,2/4,Koeru,,,,,,,,,1008. Koeru,,,1365,,,,
,1009,1009-r,4,,2/4,Kadrina,,,,,,,,,1009. Kadrina,,,1365,,,,
,1010,1010-r,4,,2/4,Pilistvere,,,,,,,,,1010. Pilistvere,,,1365,,,,
,1011,1011-r,4,,2/4,Türi,,,,,,,,,1011. Türi,,,1365,,,,
135,1012,1012-r,4,,2/4,Kuusalu,,,,,,,,,1012. Kuusalu,,,1365,,,,
,1013,1013-r,4,,2/4,Järvamaa,,,,,,,,,1013. Järvamaa,,,1365,,,,
,1014,1014-r,4,,2/4,Järva-Jaani,,,,,,,,,1014. Järva-Jaani,,,1365,,,,
,1015,1015-r,4,,2/4,Kadrina,,,,,,,,,1015. Kadrina,,,1365,,,,
,1016,1016-r,4,,2/4,Alatskivi,,,,,,,,,1016. Alatskivi,,,1365,,,,
,1017,1017-r,4,,2/4,Saarde,,,,,,,,,1017. Saarde,,,1365,,,,
,1018,1018-r,4,,2/4,Pilistvere,,,,,,,,,1018. Pilistvere,,,1365,,,,
,1019,1019-r,4,,2/4,Haljala,,,,,,,,,1019. Haljala,,,1365,,,,
136,1020,1020-r,4,,2/4,Järva-Jaani,,,,,,,,,1020. Järva-Jaani,,,1365,,,,
,1021,1021-r,4,,2/4,Maarja-Magdaleena,,,,,,,,,1021. Maarja-Magdaleena,,,1365,,,,
,1022,1022-r,4,,2/4,Järvamaa,,,,,,,,,1022. Järvamaa,,,1365,,,,
,1023,1023-r,4,,2/4,Laiuse-Simuna,,,,,,,,,1023. Laiuse-Simuna,,,1365,,,,
,1024,1024-r,4,,2/4,Türi,,,,,,,,,1024. Türi,,,1365,,,,
,1025,1025-r,4,,2/4,Keila,,,,,,,,,1025. Keila,,,1365,,,,
137,1026,1026-r,4,,2/4,Juuru,,,,,,,,,1026. Juuru,,,1365,,,,
,1027,1027-r,4,,2/4,Kanepi,,,,,,,,,1027. Kanepi,,,1365,,,,
,1028,1028-r,4,,2/4,Narva,,,,,,,,,1028. Narva,,,1365,,,,
,1029,1029-r,4,,2/4,Torma,,,,,,,,,1029. Torma,,,1365,,,,
,1030,1030-r,4,,2/4,Koeru ja Järva-Jaani,,,,,,,,,1030. Koeru ja Järva-Jaani,,,1365,,,,
,1031,1031-r,4,,2/4,Rõngu,,,,,,,,,1031. Rõngu,,,1365,,,,
,1032,1032-r,4,,2/4,Pöide,,,,,,,,,1032. Pöide,,,1365,,,,
138,1033,1033-r,4,,2/4,Ambla,,,,,,,,,1033. Ambla,,,1365,,,,
,1034,1034-r,4,,2/4,Järva-Madise,,,,,,,,,1034. Järva-Madise,,,1365,,,,
,1035,1035-r,4,,2/4,Koeru,,,,,,,,,1035. Koeru,,,1365,,,,
,1036,1036-r,4,,2/4,Koeru,,,,,,,,,1036. Koeru,,,1365,,,,
,1037,1037-r,4,,2/4,Vastseliina,,,,,,,,,1037. Vastseliina,,,1365,,,,
,1038,1038-r,4,,2/4,Narva,,,,,,,,,1038. Narva,,,1365,,,,
139,1039,1039-r,4,,2/4,Kuusalu,,,,,,,,,1039. Kuusalu,,,1365,,,,
,1040,1040-r,4,,2/4,Rakvere,,,,,,,,,1040. Rakvere,,,1365,,,,
