ID,takte,eeltakt,mõõt,maakond,kogujad,tekst
0033-r,4,,2/4,33. Audru,K.Viljak (2),"O-leks mi-na siis-ki ä-ra sur-nud, kui mi-na o-lin pi--si-ke."
0034-r,2,,2/4,34. Kuusalu,Viljak-Vilberg (194),Pei-u-ka-ne poi-si--ka-ne.
0035-r,2,,2/4,35. Kuusalu,Viljak-Vilberg (176),Neit--si--ka-ne nuo--ru-ka-ne.
0036-r,4,,2/4,36. Viru-Nigula,K.Viljak (6),"Mi-na lais-ka lak-ke-kae-la, mi-na lais-ka lak-ke-kae-la."
0037-r,2,,2/4,37. Järvamaa,Penna-Rosenstrauch (74),Läh-me jaa-ni-päev ki-ri-ku. _ _
0038-r,4,,2/4,38. Järvamaa,Penna-Rosenstrauch (48),"Kut-saril kuld-ne ku-ke-har-ja, re-hel laul-di-sed vä-ra-vad."
0039-r,4,,2/4,39. Jõhvi,Penna-Sildnik (90) a,"Oot-kem, oot-kem, val-la-rah-vas ..."
0040-r,4,,2/4,40. Väike-Maarja,P.Penna (155),"Pe-re-nai-ne, pöö-ri kae-la, pa-ni nöö-ri or-ja kae-la."
0041-r,4,,2/4,41. Jõhvi,Penna-Sildnik (32),"Õ-de, hel-la, eks ma ööl-nud ..."
0042-r,2,,6/8,42. Kadrina,K.Viljak (2),"Too-ge _ _ ka-nad, _ _ too-ge mu-nad."
0043-r,4,,2/4,43. Kadrina,K.Viljak (34),"Lõ-pe, lõ-pe, põl-lu-ke-ne, a-ki, ar-mas väl-ja-ke-ne."
0044-r,2,,2/4,44. Kuusalu,Viljak-Vilberg (182),"Läh-me, _ _ läh--me, käi-me, käi-me."
0045-r,2,,2/4,45. Kuusalu,Viljak-Vilberg (175),Li-u la--u las-ki-ja-le.
0046-r,4,,2/4,46. Kuusalu,Viljak-Vilberg (18),"O-li mul üks ai-nus ven-da, see te-gi kul-da-se ku-ri-ka."
0047-r,4,,2/4,47. Kadrina,K.Viljak (29),"Tõest ei kõi-gi-ga kõ-nel-da, hääd ei hal-ba il-mu-ta-ta."
0048-r,4,,6/8,48. Jõhvi,Penna-Sildnik (26) a,"E-hi--te-lin vel-je-kes-ta,_ _ e-hi-te-lin_ _ ke-na-te-lin."
0049-r,4,,2/4,49. Koeru,Välbe-Martin-Rosenstrauch (23),"Mis sa ke-od mei-e kii-ke, mis sa ä-gad mei-e häl-li?"
0050-r,4,,2/4,50. Ambla,J.Välbe (215),Las-ke sis-se mar-di-san-did: Mar-di küü-ned kül-me-ta-vad.
0051-r,4,,2/4,51. Audru,K.Viljak (3),"Tä-na lä-hen, tä-na lah-kun, üks-ki suu ei nut-tu tei-nud."
0052-r,4,,2/4,52. Haljala,Viljak-Mark (17),"Mar-ti kün-nik-selt kü-sik-se, ü-le pa-ku pal-ve-lek-se."
0053-r,4,,6/8,53. Põhja-Eesti,J.Sõster (2),Ei ma ne-a nei-u-ae-ga e-ga põl-ga pii-ga-põl-ve.
0054-r,4,,6/8,"54. Põhja-Eesti, 1909",J.Sõster (53),-
